noun,Eventive_1,Eventive_2,Pluralia Tantum_1,Pluralia Tantum_2,Animate/Inanimate_1,Animate/Inanimate_2,Animate/Inanimate_3,Collective_1,Collective_2,Common_1,Common_2,Count_1,Count_2,Mass_1,Mass_2,total_score
analytics,0.92,0.98,-0.89,-0.60,-0.91,-0.96,-0.96,-0.60,0.52,0.79,0.62,-0.56,-0.65,0.59,-0.51,-0.09
anarchist,-0.72,-0.78,0.54,0.95,0.91,0.96,0.96,0.91,0.54,0.81,0.63,0.93,0.69,-0.69,-0.64,0.36
anarchy,0.89,0.98,0.51,0.70,0.68,-0.96,-0.96,0.82,-0.86,0.93,0.66,0.94,0.93,0.83,-0.88,0.40
anatomy,0.92,0.97,-0.68,0.89,-0.83,-0.96,-0.95,0.87,-0.85,0.98,0.82,0.96,0.97,0.96,-0.92,0.29
ancestor,-0.86,0.66,0.58,0.94,0.86,0.95,0.93,0.69,-0.92,0.95,0.61,0.90,0.75,0.88,-0.88,0.44
anchovy,0.75,0.68,0.77,0.96,0.77,0.95,0.93,0.92,0.80,0.97,0.79,0.95,0.95,0.83,0.81,0.85
android,0.81,-0.71,0.71,0.96,0.94,0.96,0.89,0.70,-0.93,0.97,0.85,0.95,0.95,0.83,-0.65,0.52
anesthesiologist,0.72,-0.84,-0.65,0.91,0.85,0.96,0.96,0.67,-0.83,0.92,0.60,0.95,0.60,-0.83,0.60,0.33
anesthesiology,0.89,0.97,-0.78,0.70,-0.78,-0.82,0.77,0.86,0.75,0.94,0.61,0.94,0.96,0.64,-0.74,0.44
angel,-0.69,-0.82,0.79,0.95,0.94,0.96,0.96,0.73,-0.96,0.94,0.66,0.88,0.76,-0.58,-0.84,0.27
anger,0.85,0.97,-0.76,0.71,0.89,-0.96,-0.96,-0.58,-0.79,0.97,0.66,0.51,0.79,0.96,-0.93,0.19
angina,-0.56,0.55,0.54,0.92,0.55,0.96,0.94,0.95,0.69,0.95,0.52,0.95,0.97,-0.70,0.61,0.57
angiosperm,0.85,-0.53,0.67,0.96,0.65,-0.60,-0.57,0.93,-0.54,0.96,0.88,0.93,0.97,0.87,0.55,0.51
angle,0.60,0.86,-0.67,0.93,-0.90,-0.96,-0.95,-0.65,-0.80,0.97,0.91,0.95,0.97,-0.58,-0.74,0.06
angora,-0.59,0.79,-0.58,0.93,-0.72,0.96,0.85,0.79,0.70,0.93,-0.52,0.92,0.93,-0.71,0.70,0.36
angstrom,0.56,0.97,-0.59,0.95,-0.83,-0.90,-0.56,0.95,-0.70,0.93,0.58,0.94,0.83,0.73,-0.68,0.28
anguish,0.92,0.98,-0.82,0.75,0.61,-0.97,-0.96,-0.51,-0.85,0.96,0.72,0.65,0.95,0.93,-0.85,0.21
animal,-0.53,-0.78,0.73,0.92,0.92,0.93,0.91,0.87,-0.92,0.98,0.84,0.83,0.95,0.96,-0.84,0.42
anime,0.91,0.98,0.52,0.95,-0.63,-0.92,-0.85,0.91,0.86,0.98,0.75,0.93,0.96,0.97,0.63,0.63
anise,0.65,0.90,-0.54,0.94,0.78,-0.92,-0.91,0.62,-0.82,0.88,0.72,0.91,0.95,0.87,-0.62,0.34
ankle,0.59,-0.83,-0.59,0.92,-0.55,-0.90,-0.94,-0.69,-0.90,0.91,0.91,0.92,0.91,0.79,-0.86,0.03
anklet,0.83,0.60,0.74,0.97,0.79,-0.85,-0.88,-0.69,-0.94,0.97,0.86,0.89,0.93,0.69,-0.83,0.31
anniversary,-0.51,0.97,-0.68,0.95,-0.80,-0.96,-0.97,-0.54,-0.94,0.96,0.84,0.90,0.94,-0.66,-0.87,-0.03
announcement,0.90,0.98,-0.66,0.95,-0.73,-0.97,-0.96,0.78,-0.94,0.98,0.84,0.90,0.69,0.55,-0.89,0.24
annual,-0.80,-0.73,-0.76,0.72,-0.92,-0.96,-0.94,0.78,-0.95,0.94,0.52,0.86,0.95,-0.91,-0.89,-0.15
anorak,0.92,0.97,0.84,0.97,0.58,0.64,-0.85,0.84,0.53,0.97,0.86,0.93,0.89,0.67,0.73,0.74
answer,0.88,0.93,-0.74,0.95,-0.81,-0.96,-0.97,-0.66,-0.95,0.97,0.86,0.96,0.83,0.55,-0.82,0.14
ant,0.76,0.54,0.68,0.97,0.92,0.91,0.93,0.93,-0.64,0.97,0.77,0.85,0.94,0.85,-0.70,0.63
anteater,-0.69,-0.77,0.68,0.95,0.90,0.96,0.95,0.77,-0.79,0.89,0.59,0.95,0.73,-0.81,-0.69,0.26
antecedent,0.72,0.91,-0.66,0.94,0.56,-0.88,0.92,0.72,0.68,0.95,0.83,0.94,0.95,0.57,-0.76,0.51
antechamber,0.87,0.82,0.85,0.92,-0.90,-0.92,-0.87,0.95,-0.73,0.96,0.78,0.95,0.84,0.55,-0.73,0.37
antelope,0.73,0.57,0.81,0.96,0.87,0.94,0.87,0.92,0.94,0.88,0.70,0.95,0.96,0.68,0.82,0.84
antennae,0.67,0.67,0.66,0.93,-0.68,0.89,-0.66,0.74,0.96,0.59,0.74,0.93,0.94,-0.54,0.70,0.55
anterior,-0.83,-0.77,-0.85,0.50,-0.87,-0.95,-0.90,0.56,-0.80,-0.63,-0.58,0.94,0.92,-0.78,-0.75,-0.35
anthropology,0.95,0.98,-0.78,0.87,-0.64,-0.94,-0.77,0.84,-0.77,0.98,0.72,0.96,0.97,0.97,-0.93,0.30
antibody,0.71,0.73,0.66,0.95,0.93,-0.83,-0.81,0.62,-0.88,0.98,0.91,0.96,0.97,0.89,-0.90,0.44
anticipation,0.87,0.96,-0.68,0.85,0.84,-0.96,-0.95,-0.54,-0.93,0.98,0.76,0.91,0.68,0.89,-0.79,0.23
anticodon,0.78,0.89,0.89,0.96,0.77,0.61,0.78,0.93,0.65,0.96,0.83,0.96,0.97,0.78,0.50,0.82
antigen,0.69,0.73,0.64,0.96,0.93,-0.95,-0.95,-0.55,-0.91,0.97,0.87,0.97,0.97,0.95,-0.87,0.34
antique,-0.55,0.97,0.65,0.96,0.75,-0.79,0.65,0.53,-0.94,0.96,0.92,0.90,0.96,0.91,-0.86,0.42
antiquity,-0.62,0.93,-0.78,0.73,-0.79,-0.97,-0.92,-0.56,-0.74,0.88,0.70,0.94,0.96,0.89,-0.82,0.05
antler,0.90,0.67,0.78,0.96,0.67,-0.91,-0.93,0.73,-0.91,0.97,0.83,0.88,0.91,0.97,-0.90,0.43
antling,0.88,0.97,0.57,0.95,-0.57,-0.90,-0.78,0.82,-0.70,0.94,0.75,0.85,0.94,0.96,-0.80,0.40
anxiety,0.85,0.98,-0.79,0.78,-0.57,-0.96,-0.95,-0.51,-0.85,0.92,0.71,0.94,0.91,0.89,-0.93,0.16
anybody,-0.93,0.85,-0.91,-0.86,-0.95,-0.95,-0.96,-0.71,-0.82,-0.93,-0.69,-0.51,-0.61,-0.93,-0.81,-0.70
anyone,-0.94,0.68,-0.94,-0.88,-0.96,-0.96,-0.96,-0.76,-0.94,-0.95,-0.72,-0.52,-0.79,-0.93,-0.85,-0.75
anything,-0.95,-0.74,-0.92,-0.83,-0.95,-0.97,-0.97,-0.74,-0.85,-0.94,-0.67,0.68,-0.63,-0.90,-0.83,-0.73
anywhere,-0.91,0.88,-0.95,-0.75,-0.97,-0.96,-0.96,-0.71,-0.64,-0.94,-0.64,-0.58,0.80,-0.93,-0.88,-0.58
apartment,-0.68,-0.85,0.55,0.95,-0.96,-0.97,-0.92,0.57,-0.91,0.97,0.92,0.85,0.91,0.78,-0.82,0.10
ape,-0.57,-0.54,0.57,0.96,0.92,0.96,0.89,0.86,-0.62,0.97,0.69,0.94,0.93,0.68,-0.64,0.43
aperitif,0.95,0.97,0.89,0.97,-0.90,-0.92,-0.95,0.95,-0.85,0.97,0.93,0.96,0.97,-0.56,-0.51,0.34
apology,0.92,0.98,0.71,0.97,0.59,-0.96,-0.97,-0.54,-0.93,0.97,0.86,0.95,0.78,0.70,-0.83,0.33
app,0.86,-0.68,0.50,0.95,0.86,-0.86,-0.93,0.85,-0.91,0.98,0.89,0.92,0.95,0.89,-0.88,0.34
apparatus,0.90,0.87,0.57,0.93,0.74,-0.96,-0.94,0.87,-0.58,0.98,0.81,0.90,0.94,0.87,-0.81,0.46
apparel,0.87,0.63,-0.91,0.68,-0.69,-0.96,-0.96,-0.76,-0.71,0.98,0.80,0.79,0.94,0.98,-0.92,0.12
appeal,0.91,0.98,0.57,0.97,0.68,-0.93,-0.97,0.86,-0.86,0.98,0.86,0.92,0.97,0.82,-0.89,0.45
appearance,0.95,0.98,-0.82,0.96,-0.95,-0.97,-0.97,-0.60,-0.94,0.96,0.83,0.88,0.89,-0.62,-0.85,0.05
appellation,0.86,0.97,0.68,0.94,-0.54,-0.95,-0.96,0.82,-0.84,0.97,0.89,0.96,0.95,0.74,-0.50,0.41
appendix,0.76,0.98,0.88,0.95,0.88,-0.92,-0.72,0.72,-0.89,0.98,0.82,0.96,0.96,0.81,-0.75,0.48
appetiser,0.86,0.97,0.80,0.97,0.82,-0.69,-0.85,0.69,-0.91,0.98,0.95,0.91,0.92,0.78,-0.81,0.47
appetite,0.64,0.88,-0.57,0.95,0.88,-0.97,-0.95,-0.65,-0.95,0.86,0.86,0.96,0.96,0.89,-0.88,0.23
appetizer,0.93,0.97,0.84,0.97,0.91,-0.95,-0.92,0.59,-0.92,0.97,0.95,0.90,0.88,0.92,-0.86,0.47
applause,0.92,0.98,-0.71,0.90,0.53,-0.94,-0.95,0.76,-0.87,0.97,0.71,0.85,0.94,0.94,-0.89,0.33
apple,0.79,-0.70,0.66,0.97,0.88,-0.93,-0.91,-0.65,-0.95,0.97,0.92,0.90,0.95,0.93,-0.78,0.24
applewood,0.83,-0.73,-0.76,0.81,-0.87,-0.96,-0.96,-0.78,-0.88,0.78,0.54,0.85,0.94,0.96,-0.87,-0.01
appliance,0.82,0.57,0.68,0.95,0.92,-0.84,-0.94,-0.71,-0.91,0.98,0.94,0.83,0.93,0.96,-0.75,0.34
application,0.95,0.98,0.62,0.96,0.68,-0.87,-0.93,0.87,-0.89,0.98,0.87,0.87,0.96,0.77,-0.86,0.45
appointment,0.85,0.97,0.61,0.96,-0.92,-0.96,-0.96,0.58,-0.95,0.98,0.87,0.87,0.87,0.73,-0.87,0.33
appreciation,0.91,0.98,-0.66,0.92,0.69,-0.96,-0.97,0.65,-0.94,0.98,0.80,0.93,0.92,0.96,-0.87,0.34
apprehension,0.82,0.97,-0.72,0.90,-0.55,-0.97,-0.96,-0.59,-0.94,0.94,0.64,0.94,0.78,0.80,-0.80,0.15
approach,0.94,0.98,-0.60,0.92,-0.60,-0.96,-0.96,0.60,-0.94,0.98,0.90,0.94,0.96,-0.83,-0.72,0.18
appropriation,0.90,0.98,0.69,0.96,-0.85,-0.96,-0.96,-0.52,-0.93,0.98,0.91,0.89,0.90,0.90,-0.88,0.28
approval,0.96,0.98,-0.75,0.94,-0.84,-0.96,-0.96,-0.72,-0.93,0.98,0.70,0.93,0.84,0.83,-0.85,0.15
apricot,0.89,0.85,0.64,0.97,0.69,-0.56,-0.88,0.55,-0.75,0.95,0.85,0.89,0.94,0.91,0.60,0.56
apron,0.92,0.55,0.71,0.97,-0.76,-0.95,-0.91,-0.71,-0.94,0.98,0.87,0.93,0.93,0.81,-0.87,0.24
apse,0.71,0.93,0.55,0.96,0.76,-0.61,-0.68,0.95,0.89,0.96,0.87,0.96,0.96,-0.70,-0.50,0.51
aquarium,0.84,-0.64,0.85,0.94,-0.91,-0.92,-0.95,0.78,-0.85,0.98,0.87,0.94,0.88,-0.57,-0.89,0.16
aquifer,0.77,0.56,0.85,0.95,0.73,-0.84,-0.90,0.77,-0.66,0.97,0.88,0.96,0.83,0.83,-0.77,0.45
arcade,0.66,0.57,0.85,0.94,-0.82,-0.95,-0.81,0.85,-0.73,0.98,0.86,0.95,0.87,-0.69,-0.69,0.26
arch,0.71,-0.56,0.59,0.94,-0.92,-0.96,-0.77,0.56,-0.92,0.96,0.85,0.93,0.94,0.56,-0.79,0.21
arch-rival,0.72,0.94,0.71,0.96,0.81,0.95,0.94,0.90,-0.75,0.85,0.73,0.95,0.90,-0.63,-0.70,0.53
archaeologist,0.51,-0.85,0.62,0.92,0.91,0.96,0.95,0.68,-0.85,0.95,0.64,0.91,0.59,-0.75,-0.84,0.31
archaeology,0.95,0.98,-0.73,0.88,-0.74,-0.96,-0.66,0.59,-0.77,0.97,0.69,0.95,0.97,0.96,-0.92,0.28
archeology,0.93,0.97,-0.63,0.89,-0.73,-0.97,-0.93,-0.57,-0.90,0.97,0.68,0.94,0.97,0.95,-0.87,0.18
archer,0.55,-0.78,0.74,0.95,0.90,0.96,0.95,0.87,-0.86,0.95,0.72,0.91,0.59,-0.75,-0.58,0.37
architect,0.64,-0.91,0.65,0.94,0.78,0.96,0.96,0.60,-0.95,0.89,0.64,0.92,0.69,-0.58,-0.83,0.32
architecture,0.90,0.96,-0.77,0.88,0.82,-0.95,-0.85,0.52,-0.59,0.98,0.80,0.93,0.97,0.96,-0.91,0.36
archives,0.87,0.90,-0.77,-0.68,-0.95,-0.97,-0.96,-0.59,-0.62,-0.90,0.59,0.61,-0.75,-0.92,0.85,-0.24
area,-0.72,-0.82,-0.78,0.75,-0.97,-0.96,-0.92,0.65,-0.94,0.97,0.71,0.92,0.96,0.87,-0.89,-0.02
arena,0.52,-0.86,0.69,0.91,-0.91,-0.94,-0.95,0.63,-0.90,0.98,0.84,0.92,0.84,0.61,-0.84,0.18
argument,0.92,0.98,-0.63,0.95,0.78,-0.96,-0.97,0.78,-0.91,0.98,0.91,0.94,0.96,0.95,-0.88,0.37
arithmetic,0.95,0.98,-0.81,0.93,-0.71,-0.97,-0.97,0.50,-0.74,0.98,0.76,0.79,0.94,0.96,-0.88,0.26
ark,0.65,0.59,0.79,0.95,-0.83,-0.93,-0.95,0.65,-0.82,0.97,0.90,0.93,0.90,0.78,-0.57,0.35
arm,0.54,-0.67,-0.65,0.91,-0.63,-0.91,-0.94,0.92,-0.90,0.96,0.87,0.94,0.71,0.81,-0.90,0.14
arm-rest,0.77,0.95,-0.60,0.88,-0.85,-0.97,-0.92,-0.50,-0.88,0.96,0.76,0.88,0.73,0.75,-0.82,0.15
armadillo,0.78,0.86,0.70,0.96,0.75,0.80,-0.69,0.96,0.70,0.95,0.79,0.93,0.90,0.70,0.53,0.74
armament,0.83,0.67,0.58,0.88,0.83,-0.96,-0.95,0.52,-0.63,0.98,0.86,0.87,0.96,0.94,-0.90,0.42
armchair,0.83,-0.72,0.66,0.96,-0.58,-0.78,-0.86,-0.60,-0.96,0.97,0.91,0.90,0.65,-0.58,-0.87,0.05
armoire,0.67,-0.63,0.87,0.95,0.77,-0.96,-0.96,-0.66,-0.95,0.97,0.93,0.91,0.91,0.87,-0.77,0.24
armor,0.91,-0.62,-0.80,0.89,0.79,-0.97,-0.96,-0.80,-0.80,0.98,0.82,0.92,0.90,0.96,-0.92,0.12
armour,0.91,0.53,-0.73,0.84,0.64,-0.96,-0.84,-0.70,-0.69,0.97,0.80,0.92,0.92,0.95,-0.91,0.22
armpit,0.81,0.83,-0.54,0.94,-0.70,-0.88,-0.92,-0.60,-0.92,0.92,0.88,0.94,0.90,0.68,-0.84,0.17
armrest,0.61,-0.73,0.55,0.93,0.52,-0.97,-0.96,-0.64,-0.92,0.94,0.86,0.84,0.78,0.72,-0.79,0.16
army,0.56,-0.54,0.61,0.91,0.74,0.96,0.97,0.93,0.97,0.97,0.64,0.90,0.82,0.53,-0.88,0.59
arrangement,0.93,0.98,0.66,0.95,-0.88,-0.96,-0.96,0.83,-0.95,0.98,0.89,0.91,-0.51,0.61,0.51,0.35
array,-0.55,0.64,0.78,0.96,0.51,-0.97,-0.94,0.91,-0.56,0.98,0.87,0.89,0.97,0.65,-0.81,0.34
arrest,0.90,0.98,0.57,0.97,-0.92,-0.97,-0.96,-0.70,-0.93,0.98,0.77,0.83,0.93,-0.66,-0.89,0.13
arrival,0.83,0.97,-0.76,0.93,-0.93,-0.96,-0.93,0.67,-0.93,0.96,0.74,0.88,0.65,-0.93,-0.88,0.09
arrogance,0.69,0.96,-0.58,0.53,0.74,-0.97,-0.96,-0.61,-0.88,0.94,0.71,0.58,0.93,0.90,-0.82,0.18
arrow,0.68,0.94,0.72,0.97,0.95,-0.94,-0.95,-0.55,-0.92,0.97,0.91,0.94,0.96,0.93,-0.82,0.37
art,0.93,0.98,-0.70,0.94,0.75,-0.93,-0.95,0.59,-0.64,0.98,0.82,0.96,0.95,0.98,-0.93,0.36
artery,0.61,0.52,0.67,0.92,0.68,-0.91,-0.96,0.81,-0.69,0.96,0.91,0.96,0.97,0.86,-0.85,0.42
arthur,0.78,0.90,0.78,0.94,-0.74,-0.95,-0.69,0.75,-0.90,0.94,0.77,0.95,0.90,0.60,-0.80,0.36
artichoke,0.85,0.83,0.78,0.97,0.83,0.81,-0.90,0.65,-0.81,0.94,0.82,0.92,0.93,0.95,-0.52,0.56
article,0.89,0.97,-0.73,0.96,0.83,-0.92,-0.96,0.78,-0.96,0.98,0.89,0.83,0.95,0.94,-0.89,0.35
artifact,0.73,0.82,0.80,0.97,0.94,-0.90,-0.96,-0.68,-0.96,0.98,0.91,0.81,0.97,0.97,-0.81,0.35
artificer,0.74,0.70,0.85,0.96,0.94,0.96,0.96,0.86,-0.87,0.94,0.60,0.91,0.80,-0.72,0.55,0.59
artist,0.80,-0.78,0.51,0.94,0.89,0.97,0.96,0.64,-0.87,0.95,0.65,0.89,0.85,0.82,0.58,0.56
ascend,-0.77,-0.52,-0.67,0.61,-0.90,-0.94,-0.88,-0.54,-0.86,-0.59,-0.67,0.68,0.88,-0.93,-0.82,-0.43
ascent,0.96,0.98,-0.61,0.96,-0.89,-0.96,-0.97,0.55,-0.91,0.98,0.85,0.94,0.93,-0.66,-0.80,0.16
ascot,0.86,0.88,0.69,0.96,0.52,0.72,0.89,0.86,-0.90,0.98,0.85,0.90,0.93,-0.57,-0.57,0.52
ash,0.62,0.94,-0.75,0.68,0.64,-0.96,-0.97,-0.81,-0.65,0.96,0.76,0.94,-0.64,0.97,-0.94,0.09
ashram,0.62,0.96,0.88,0.96,-0.92,-0.93,-0.78,0.92,-0.69,0.96,0.92,0.94,0.92,-0.68,-0.58,0.31
ashtray,0.65,0.52,0.71,0.97,0.71,-0.95,-0.96,-0.80,-0.95,0.96,0.90,0.88,0.94,0.75,-0.77,0.28
aside,-0.86,0.93,-0.73,0.93,-0.93,-0.97,-0.92,-0.78,-0.65,0.72,0.67,0.84,0.97,-0.88,-0.80,-0.11
asparagus,0.93,0.77,-0.57,0.96,0.87,-0.88,-0.84,-0.65,-0.70,0.93,0.76,0.93,0.96,0.95,-0.55,0.30
aspect,-0.71,0.67,-0.85,0.86,-0.89,-0.97,-0.95,-0.65,-0.81,0.88,0.81,0.91,0.97,0.89,-0.81,0.02
asphalt,0.84,-0.72,-0.86,0.72,0.74,-0.96,-0.95,-0.85,-0.73,0.97,0.76,0.85,0.96,0.98,-0.92,0.09
aspic,0.91,0.93,-0.65,0.96,0.70,-0.93,-0.80,0.57,-0.72,0.97,0.76,0.91,0.93,0.55,-0.86,0.33
ass,-0.78,-0.76,-0.71,0.86,-0.66,-0.76,-0.72,-0.64,-0.92,0.74,0.63,0.93,0.66,0.59,-0.82,-0.12
assassination,0.89,0.98,0.63,0.95,-0.93,-0.97,-0.94,-0.52,-0.88,0.97,0.82,0.92,0.92,-0.76,-0.89,0.15
assault,0.94,0.97,0.79,0.96,-0.95,-0.97,-0.96,0.62,-0.92,0.97,0.84,0.84,0.95,-0.80,-0.90,0.24
assembly,0.86,0.98,0.73,0.95,-0.87,0.75,-0.58,0.96,0.94,0.98,0.70,0.90,0.82,-0.54,-0.88,0.50
assertion,0.81,0.97,-0.58,0.94,0.53,-0.96,-0.96,-0.62,-0.94,0.98,0.85,0.89,0.94,0.75,-0.78,0.23
assessment,0.95,0.98,-0.50,0.94,-0.66,-0.95,-0.96,0.80,-0.95,0.98,0.86,0.92,0.87,0.62,-0.81,0.28
asset,-0.68,-0.69,0.52,0.94,0.68,-0.95,-0.96,-0.53,-0.93,0.98,0.88,0.87,0.95,0.95,-0.89,0.11
assignment,0.94,0.98,0.68,0.96,-0.67,-0.95,-0.95,0.74,-0.95,0.98,0.88,0.93,0.96,0.96,-0.77,0.40
assist,0.88,0.98,-0.75,0.97,-0.95,-0.93,-0.66,-0.54,-0.90,0.97,0.76,0.83,0.90,-0.52,-0.86,0.07
assistance,0.93,0.98,-0.86,0.84,-0.94,-0.96,-0.95,-0.62,-0.91,0.98,0.76,0.86,0.94,0.96,-0.94,0.14
assistant,0.51,-0.92,-0.70,0.95,0.83,0.97,0.96,0.50,-0.95,0.97,0.60,0.83,0.79,-0.58,-0.83,0.21
associate,0.72,-0.82,-0.68,0.95,0.81,0.96,0.96,0.87,-0.88,0.93,-0.54,0.76,0.89,0.57,-0.86,0.27
association,0.77,0.98,0.60,0.93,-0.79,0.64,0.66,0.97,0.85,0.98,0.59,0.94,0.97,0.83,-0.76,0.64
assumption,0.67,0.96,-0.50,0.92,0.50,-0.97,-0.95,-0.68,-0.93,0.98,0.81,0.94,0.97,0.83,-0.69,0.24
assurance,0.83,0.93,-0.57,0.94,-0.58,-0.97,-0.96,-0.61,-0.94,0.97,0.86,0.94,-0.57,0.80,-0.78,0.08
asterisk,0.59,0.95,0.74,0.97,0.93,-0.94,-0.81,0.78,-0.89,0.97,0.82,0.96,0.97,0.95,-0.76,0.46
astrakhan,0.86,0.96,0.74,0.93,-0.69,0.68,0.61,0.94,0.79,0.82,0.65,0.95,0.89,-0.56,-0.54,0.56
astrolabe,0.89,0.91,0.74,0.96,0.54,-0.63,-0.91,0.73,-0.57,0.97,0.88,0.93,0.95,0.78,0.67,0.58
astrologer,0.70,-0.85,0.59,0.90,0.62,0.96,0.89,0.74,-0.96,0.89,0.59,0.93,-0.75,-0.82,-0.57,0.22
astrology,0.91,0.97,-0.80,0.87,-0.66,-0.96,-0.96,0.69,-0.83,0.90,0.69,0.89,0.54,0.67,-0.92,0.20
astronomy,0.96,0.98,-0.82,0.75,0.50,-0.96,-0.94,0.73,-0.69,0.98,0.69,0.92,0.94,0.96,-0.93,0.32
asymmetry,0.89,0.98,0.79,0.94,0.79,-0.96,-0.96,0.54,-0.67,0.97,0.82,0.96,0.97,0.91,-0.85,0.46
atelier,0.86,0.90,0.84,0.95,-0.94,-0.92,-0.90,0.94,-0.51,0.97,0.80,0.94,0.94,-0.70,0.67,0.41
atheist,-0.71,-0.76,0.65,0.94,0.96,0.96,0.96,0.76,-0.52,0.83,0.57,0.93,0.79,-0.58,-0.76,0.29
athlete,0.75,-0.87,0.59,0.91,0.89,0.97,0.97,0.55,-0.74,0.92,0.59,0.76,0.79,0.89,-0.82,0.44
athletics,0.93,0.98,-0.93,-0.71,-0.95,-0.96,-0.96,-0.63,0.74,-0.90,-0.58,0.59,-0.59,-0.59,-0.57,-0.30
atmosphere,0.77,0.74,0.64,0.77,0.55,-0.97,-0.96,0.59,-0.94,0.98,0.75,0.96,0.97,0.87,-0.80,0.38
atom,0.78,0.72,0.82,0.97,0.90,-0.71,-0.77,0.93,-0.86,0.98,0.82,0.91,0.96,0.88,-0.82,0.48
atrium,0.60,-0.57,0.80,0.88,-0.94,-0.95,-0.95,0.77,-0.87,0.97,0.57,0.93,0.95,-0.71,-0.94,0.11
attachment,0.87,0.98,0.56,0.93,-0.82,-0.96,-0.95,0.73,-0.89,0.97,0.86,0.96,0.95,0.84,-0.88,0.36
attack,0.95,0.98,0.56,0.96,-0.84,-0.96,-0.96,0.78,-0.85,0.98,0.86,0.91,0.96,-0.90,-0.87,0.25
attacker,-0.58,0.66,0.74,0.95,0.95,0.96,0.94,0.87,-0.94,0.90,0.56,0.90,0.66,-0.83,-0.86,0.35
attainment,-0.57,0.98,-0.83,0.91,-0.96,-0.96,-0.92,-0.71,-0.91,0.93,0.72,0.94,0.96,0.79,-0.80,0.04
attempt,0.92,0.97,-0.69,0.97,-0.79,-0.96,-0.96,0.69,-0.95,0.97,0.83,0.90,0.94,-0.82,-0.86,0.15
attendance,-0.55,0.96,-0.90,0.75,-0.95,-0.95,-0.92,0.66,-0.64,0.71,0.54,0.83,0.85,0.67,-0.92,0.08
attendant,0.71,-0.91,-0.60,0.94,0.80,0.97,0.96,0.63,-0.96,0.95,0.55,0.78,0.56,-0.56,-0.86,0.22
attention,0.86,0.95,-0.91,0.63,-0.70,-0.96,-0.97,-0.74,-0.94,0.96,0.59,0.88,0.61,0.96,-0.92,0.08
attenuation,0.93,0.98,-0.58,0.88,-0.72,-0.95,-0.92,0.55,-0.78,0.98,0.82,0.94,0.95,0.90,-0.86,0.28
attic,0.50,-0.88,0.58,0.91,-0.91,-0.96,-0.94,-0.72,-0.92,0.94,0.80,0.93,0.93,-0.52,-0.88,-0.01
attitude,0.81,0.97,0.51,0.93,0.52,-0.97,-0.97,0.51,-0.91,0.98,0.85,0.96,0.84,0.83,-0.85,0.39
attorney,0.53,-0.93,-0.68,0.94,0.86,0.94,0.95,-0.54,-0.94,0.96,0.61,0.88,0.61,-0.55,-0.81,0.14
attraction,0.86,0.98,0.62,0.94,0.52,-0.95,-0.96,-0.51,-0.81,0.98,0.92,0.94,0.90,0.85,-0.86,0.35
attribute,0.86,0.95,0.62,0.96,0.76,-0.95,-0.96,0.57,-0.90,0.98,0.88,0.90,0.97,0.95,-0.79,0.44
auction,0.78,0.98,0.79,0.96,-0.67,-0.96,-0.95,0.63,-0.87,0.98,0.90,0.95,0.86,0.57,-0.91,0.35
audience,0.65,-0.57,-0.53,0.86,0.85,0.96,0.92,0.95,0.96,0.93,-0.54,0.90,0.52,-0.70,-0.90,0.31
audit,0.93,0.98,0.69,0.96,-0.58,-0.94,-0.93,0.61,-0.90,0.98,0.77,0.94,0.88,0.80,-0.89,0.37
auditorium,0.66,0.51,0.81,0.92,-0.92,-0.89,-0.82,0.78,-0.74,0.98,0.75,0.95,0.85,-0.85,-0.85,0.22
aunt,0.66,-0.85,-0.66,0.94,0.88,0.96,0.96,0.53,-0.95,0.96,0.59,0.89,0.53,0.54,-0.75,0.31
authentication,0.95,0.98,-0.79,0.89,-0.55,-0.97,-0.94,-0.53,-0.92,0.97,0.74,0.95,0.95,0.90,-0.84,0.19
authenticity,0.63,0.82,-0.86,0.51,-0.75,-0.97,-0.96,-0.69,-0.92,0.70,0.61,0.88,0.93,0.87,-0.84,0.06
author,0.71,-0.92,0.50,0.93,0.95,0.96,0.95,0.69,-0.95,0.96,0.60,0.81,0.86,-0.58,-0.82,0.34
authorisation,0.95,0.98,-0.64,0.95,-0.75,-0.96,-0.95,0.60,-0.86,0.97,0.74,0.93,0.96,0.93,-0.78,0.28
authority,-0.69,0.54,-0.53,0.82,-0.54,-0.91,-0.79,0.90,-0.84,0.91,0.58,0.84,-0.60,0.86,-0.90,0.03
authorization,0.91,0.98,-0.66,0.96,0.79,-0.97,-0.96,0.55,-0.93,0.98,0.78,0.95,0.95,0.95,-0.86,0.34
auto,0.89,0.50,0.67,0.95,-0.59,-0.91,-0.86,0.55,-0.89,0.97,0.89,0.89,0.95,0.87,-0.86,0.34
autoimmunity,0.83,0.98,0.58,0.95,0.65,-0.94,-0.93,0.94,-0.57,0.95,0.90,0.94,0.97,0.82,-0.71,0.48
automation,0.92,0.98,-0.77,0.82,-0.84,-0.96,-0.95,-0.55,-0.80,0.98,0.74,0.89,0.97,0.92,-0.90,0.17
automaton,0.70,0.85,0.78,0.95,0.90,0.95,0.95,0.96,0.58,0.97,0.72,0.90,0.95,0.78,0.67,0.84
autumn,0.82,0.97,-0.58,0.95,0.63,-0.96,-0.89,-0.64,-0.74,0.95,0.72,0.90,0.94,-0.50,-0.90,0.15
